0 , 1 , 2.27739 , 0.195441
1 , 1 , 2.21686 , 0.315071
2 , 1 , 3.20925 , 1.14115
0 , 2 , 2.27758 , 0.19564
1 , 2 , 2.21771 , 0.3155
2 , 2 , 3.21012 , 1.14125
0 , 3 , 2.27776 , 0.195839
1 , 3 , 2.21855 , 0.31593
2 , 3 , 3.21099 , 1.14134
0 , 4 , 2.27795 , 0.196038
1 , 4 , 2.2194 , 0.316359
2 , 4 , 3.21186 , 1.14144
0 , 5 , 2.27813 , 0.196236
1 , 5 , 2.22024 , 0.316789
2 , 5 , 3.21273 , 1.14154
0 , 6 , 2.27832 , 0.196435
1 , 6 , 2.22109 , 0.317218
2 , 6 , 3.2136 , 1.14163
0 , 7 , 2.2785 , 0.196634
1 , 7 , 2.22193 , 0.317648
2 , 7 , 3.21447 , 1.14173
0 , 8 , 2.27869 , 0.196833
1 , 8 , 2.22278 , 0.318078
2 , 8 , 3.21534 , 1.14183
0 , 9 , 2.27887 , 0.197031
1 , 9 , 2.22363 , 0.318507
2 , 9 , 3.21622 , 1.14192
