109.344,438.764,6.57068
107.456,439.178,6.62944
353.163,272.016,3.96282
95.69,241.582,4.94596
106.074,439.506,6.67364
107.006,439.284,6.64374
108.042,439.047,6.61096
106.476,439.409,6.66071
107.707,439.122,6.62151
106.045,439.513,6.67459
108.841,438.872,6.5861
108.961,438.846,6.58241
95.6905,241.582,4.9554
108.933,438.852,6.58326
107.697,439.124,6.62182
105.378,439.677,6.6962
90.1515,254.492,5.56011
108.848,438.87,6.58591
109.426,438.748,6.56819
109.695,438.692,6.56004
106.602,439.379,6.65666
353.588,271.96,3.94049
106.003,439.524,6.67594
107.199,439.239,6.63759
95.4332,242.951,5.01942
108.967,438.845,6.58224
108.293,438.991,6.60312
95.6898,241.582,4.94005
108.253,439,6.60438
107.288,439.218,6.63476
88.6866,256.803,5.68012
108.89,438.861,6.5846
95.1206,243.814,5.045
109.207,438.794,6.57489
356.464,276.074,3.67515
109.754,438.68,6.55826
106.702,439.356,6.65346
105.344,439.686,6.69732
95.6893,241.582,4.93119
109.534,438.726,6.56493
106.463,439.412,6.66112
107.421,439.187,6.63054
107.948,439.068,6.61392
110.059,438.618,6.54912
95.0837,243.913,5.04817
106.853,439.32,6.64861
110.19,438.592,6.54524
381.095,433.779,3.06464
356.072,279.863,3.63344
106.324,439.422,6.6677
108.007,439.029,6.61446
108.508,438.918,6.59889
108.108,439.006,6.6113
106.038,439.491,6.67687
108.322,438.959,6.60466
92.6962,249.589,5.29636
108.35,438.953,6.6038
106.979,439.265,6.64682
106.945,439.273,6.6479
93.8477,246.826,5.16366
