 
379.333,168.618
239.035,75.7239
220.12,275.511
86.8512,168.079
200.118,342.516
414.395,354.717
450.281,481.91
331.937,82.8777
313.929,448.946
400.135,419.568
199.903,26.9114
456.695,281.909
333.511,0.1932
194.46,108.169
46.3661,392.94
43.9648,140.111
335.696,319.499
86.3899,210.283
107.225,436.577
230.956,418.362
387.465,425.921
166.74,391.217
485.725,424.543
401.727,8.16948
448.295,158.067
384.23,391.754
109.257,26.7631
293.086,208.155
3.21993,472.915
112.952,248.298
321.493,329.049
435.132,176.399
45.5008,312.594
413.535,170.122
341.803,351.362
134.235,11.6286
237.443,73.7503
194.631,100.316
473.161,450.945
233.829,0.202126
166.069,350.986
192.649,196.304
421.863,412.591
41.5834,450.773
194.941,420.164
254.558,449.509
44.4451,414.115
148.842,311.669
285.625,44.9868
486.834,138.682
164.697,369.661
248.537,484.703
302.06,88.1739
350.444,426.261
398.375,418.517
105.033,364.407
366.495,387.209
212.226,211.936
131.649,233.256
432.956,333.313
96.609,183.512
445.053,488.189
29.2302,197.673
160.712,435.54
237.479,203.458
431.838,416.447
129.158,232.212
203.858,197.846
270.362,89.4015
195.764,385.947
253.844,416.547
446.141,449.395
442.882,387.893
445.241,25.5887
332.362,216.467
273.674,439.559
469.943,121.142
216.594,166.266
332.834,412.165
85.4022,124.795
409.955,483.985
85.9996,276.258
361.092,112.237
264.203,453.089
279.931,63.8288
111.195,224.741
416.625,242.222
224.682,324.29
135.916,417.136
190.223,266.959
75.1865,409.397
482.66,430.594
464.944,216.672
245.27,31.9631
